job title,company name,date,location,skills,links,responsibilites
Backend Engineer - Python/Django,Paymob Solutions -,5 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Python · Django · AWS · Web Services · Computer Science · Software Development,https://wuzzuf.net/jobs/p/LKILwV3KFlTy-Backend-Engineer---PythonDjango-Paymob-Solutions-Cairo-Egypt?o=1&l=sp&t=sj&a=python|search-v3|navbl=0,
Python Developer,EXALT Technologies -,2 days ago,"Cairo, Egypt ",Full TimeExperienced · 2 - 7 Yrs of Exp · IT/Software Development · Computer Science · Software Development · Computer Engineering · Information Technology (IT) · Python · Django · Design Patterns · Unit Testing,https://wuzzuf.net/jobs/p/gWxUbs9htHyu-Python-Developer-EXALT-Technologies-Cairo-Egypt?o=2&l=sp&t=sj&a=python|search-v3|navbl=0,
Senior Python Backend Developer,CROCOSOFT -,2 days ago,"New Cairo, Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Flask · Git · Microservice Architecture · Relational Databases · Design Patterns · English · Information Technology (IT),https://wuzzuf.net/jobs/p/UjJJjWYUo6E4-Senior-Python-Backend-Developer-CROCOSOFT-Cairo-Egypt?o=3&l=sp&t=sj&a=python|search-v3|navbl=0,
Senior Software Engineer - Python,Paymob Solutions -,13 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · Software Engineering · Framework · Software Development · AWS · Information Technology (IT) · javaScript,https://wuzzuf.net/jobs/p/CrWqYpt4FYUJ-Senior-Software-Engineer---Python-Paymob-Solutions-Cairo-Egypt?o=4&l=sp&t=sj&a=python|search-v3|navbl=0,
Full Stack Developer (Python Backend/ Vue JS Front-End),SSC Egypt -,13 days ago,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Full Stack Developer · Angular · Python · Vue.js · Engineering · Vue · Information Technology (IT),https://wuzzuf.net/jobs/p/rj5v9OAx3PUb-Full-Stack-Developer-Python-Backend-Vue-JS-Front-End-SSC-Egypt-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|navbl=0,
Senior Python Developer,Andela -,12 days ago,"Cairo, Egypt ",Full TimeFreelance / ProjectWork From HomeExperienced · 2 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · Software Engineering · Engineering · Software · Python,https://wuzzuf.net/jobs/p/XAjcoEsyHAm6-Senior-Python-Developer-Andela-Cairo-Egypt?o=6&l=sp&t=sj&a=python|search-v3|navbl=0,
Remote Senior Python Developer,Scopic -,15 days ago,"Cairo, Egypt ",Full TimeExperienced · 3 - 20 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Python · Django · Flask · JavaScript · Software Development · Programming · Computer Science,https://wuzzuf.net/jobs/p/0VZAeybGKV7E-Remote-Senior-Python-Developer-Scopic-Cairo-Egypt?o=7&l=sp&t=sj&a=python|search-v3|navbl=0,
Senior Full Stack Software Engineer ( Python - React ),JRM for Communications -,18 days ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Computer Science · Full-Stack · Information Technology (IT) · Python · React · Software · Software Development,https://wuzzuf.net/jobs/p/tQICjPOxhKYS-Senior-Full-Stack-Software-Engineer-Python---React-JRM-for-Communications-Cairo-Egypt?o=8&l=sp&t=sj&a=python|search-v3|navbl=0,
Python Developer,Shebak -,20 days ago,"Smart Village, Giza, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · PostgreSQL · C++ · Meta-Classes · Git · Unix · Linux,https://wuzzuf.net/jobs/p/lvX8rpx4B3nC-Python-Developer-Shebak-Giza-Egypt?o=9&l=sp&t=sj&a=python|search-v3|navbl=0,
Python Programmer,Right IT Group -,25 days ago,"Yanbu, Saudi Arabia ",Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Python · SQL · Information Technology (IT) · Angular,https://wuzzuf.net/jobs/p/gWMjMnFgJeKA-Python-Programmer-Right-IT-Group-Yanbu-Saudi-Arabia?o=10&l=sp&t=sj&a=python|search-v3|navbl=0,
Python Developer,RUUF -,1 month ago,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · Computer Science · Django · Docker · Information Technology (IT) · JavaScript · Python · Software Development,https://wuzzuf.net/jobs/p/X8WqVRnGVNBt-Python-Developer-RUUF-Cairo-Egypt?o=11&l=sp&t=sj&a=python|search-v3|navbl=0,
Senior Python Developer - Remote,"Nile Bits, LLC -",1 month ago,"6th of October, Giza, Egypt ",Full TimeWork From HomeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · javaScript · Software Development · Git · HTML5 · Unit Testing · Computer Science,https://wuzzuf.net/jobs/p/qZ2W8Q0izdWR-Senior-Python-Developer---Remote-Nile-Bits-LLC-Giza-Egypt?o=12&l=sp&t=sj&a=python|search-v3|navbl=0,
Python Developer (Odoo),ZAD Solutions -,1 month ago,"Mohandessin, Giza, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Python · Information Technology (IT) · Computer Science · Odoo Modules · Development · Software Development · Software,https://wuzzuf.net/jobs/p/cJSyN3XKUdHP-Python-Developer-Odoo-ZAD-Solutions-Giza-Egypt?o=13&l=sp&t=sj&a=python|search-v3|navbl=0,
Python /Django Team Leader,Div Systems -,2 months ago,"Mokattam, Cairo, Egypt ",Full TimeManager · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python Development Lead · Lead Python Engineer · Lead Software Development Engineer / Mentor · Python Developer · Engineering · Software Development · Python · Django Rest framework-,https://wuzzuf.net/jobs/p/hZjKzuel0z10-Python-Django-Team-Leader-Div-Systems-Cairo-Egypt?o=14&l=sp&t=sj&a=python|search-v3|navbl=0,
Python API Developer Ocucon Team (UK) - (Alexandria),Procrew -,2 months ago,"San Stefano, Alexandria, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · IT/Software Development · Engineering - Telecom/Technology · Testing Software · Information Technology · Software Development · QC · English · Flask · PHP Development,https://wuzzuf.net/jobs/p/my7z1Lt70Zqq-Python-API-Developer-Ocucon-Team-UK---Alexandria-Procrew-Alexandria-Egypt?o=15&l=sp&t=sj&a=python|search-v3|navbl=0,
Backend Engineer - Python/Django,Paymob Solutions -,5 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Python · Django · AWS · Web Services · Computer Science · Software Development,https://wuzzuf.net/jobs/p/LKILwV3KFlTy-Backend-Engineer---PythonDjango-Paymob-Solutions-Cairo-Egypt?o=1&l=sp&t=sj&a=python|search-v3|navbl=1,
Python Developer,EXALT Technologies -,2 days ago,"Cairo, Egypt ",Full TimeExperienced · 2 - 7 Yrs of Exp · IT/Software Development · Computer Science · Software Development · Computer Engineering · Information Technology (IT) · Python · Django · Design Patterns · Unit Testing,https://wuzzuf.net/jobs/p/gWxUbs9htHyu-Python-Developer-EXALT-Technologies-Cairo-Egypt?o=2&l=sp&t=sj&a=python|search-v3|navbl=1,
Senior Python Backend Developer,CROCOSOFT -,2 days ago,"New Cairo, Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Flask · Git · Microservice Architecture · Relational Databases · Design Patterns · English · Information Technology (IT),https://wuzzuf.net/jobs/p/UjJJjWYUo6E4-Senior-Python-Backend-Developer-CROCOSOFT-Cairo-Egypt?o=3&l=sp&t=sj&a=python|search-v3|navbl=1,
Senior Software Engineer - Python,Paymob Solutions -,13 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · Software Engineering · Framework · Software Development · AWS · Information Technology (IT) · javaScript,https://wuzzuf.net/jobs/p/CrWqYpt4FYUJ-Senior-Software-Engineer---Python-Paymob-Solutions-Cairo-Egypt?o=4&l=sp&t=sj&a=python|search-v3|navbl=1,
Full Stack Developer (Python Backend/ Vue JS Front-End),SSC Egypt -,13 days ago,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Full Stack Developer · Angular · Python · Vue.js · Engineering · Vue · Information Technology (IT),https://wuzzuf.net/jobs/p/rj5v9OAx3PUb-Full-Stack-Developer-Python-Backend-Vue-JS-Front-End-SSC-Egypt-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|navbl=1,
